filepath,label,attack_type,speaker_id,split
dataset/raw/LA\ASVspoof2019_LA_train/flac\LA_T_1138215.flac,real,-,LA_0079,train
dataset/raw/LA\ASVspoof2019_LA_train/flac\LA_T_1271820.flac,real,-,LA_0079,train
dataset/raw/LA\ASVspoof2019_LA_train/flac\LA_T_1272637.flac,real,-,LA_0079,train
dataset/raw/LA\ASVspoof2019_LA_train/flac\LA_T_1276960.flac,real,-,LA_0079,train
dataset/raw/LA\ASVspoof2019_LA_train/flac\LA_T_1341447.flac,real,-,LA_0079,train
dataset/raw/LA\ASVspoof2019_LA_train/flac\LA_T_1363611.flac,real,-,LA_0079,train
dataset/raw/LA\ASVspoof2019_LA_train/flac\LA_T_1596451.flac,real,-,LA_0079,train
dataset/raw/LA\ASVspoof2019_LA_train/flac\LA_T_1608170.flac,real,-,LA_0079,train
dataset/raw/LA\ASVspoof2019_LA_train/flac\LA_T_1684951.flac,real,-,LA_0079,train
dataset/raw/LA\ASVspoof2019_LA_train/flac\LA_T_1699801.flac,real,-,LA_0079,train
dataset/raw/LA\ASVspoof2019_LA_train/flac\LA_T_1703395.flac,real,-,LA_0079,train
dataset/raw/LA\ASVspoof2019_LA_train/flac\LA_T_1736342.flac,real,-,LA_0079,train
dataset/raw/LA\ASVspoof2019_LA_train/flac\LA_T_1779188.flac,real,-,LA_0079,train
dataset/raw/LA\ASVspoof2019_LA_train/flac\LA_T_1786825.flac,real,-,LA_0079,train
dataset/raw/LA\ASVspoof2019_LA_train/flac\LA_T_1787246.flac,real,-,LA_0079,train
dataset/raw/LA\ASVspoof2019_LA_train/flac\LA_T_1905558.flac,real,-,LA_0079,train
dataset/raw/LA\ASVspoof2019_LA_train/flac\LA_T_2205687.flac,real,-,LA_0079,train
dataset/raw/LA\ASVspoof2019_LA_train/flac\LA_T_2220901.flac,real,-,LA_0079,train
dataset/raw/LA\ASVspoof2019_LA_train/flac\LA_T_2361751.flac,real,-,LA_0079,train
dataset/raw/LA\ASVspoof2019_LA_train/flac\LA_T_2373806.flac,real,-,LA_0079,train
dataset/raw/LA\ASVspoof2019_LA_train/flac\LA_T_2417641.flac,real,-,LA_0079,train
dataset/raw/LA\ASVspoof2019_LA_train/flac\LA_T_2520083.flac,real,-,LA_0079,train
dataset/raw/LA\ASVspoof2019_LA_train/flac\LA_T_2562689.flac,real,-,LA_0079,train
dataset/raw/LA\ASVspoof2019_LA_train/flac\LA_T_2564579.flac,real,-,LA_0079,train
dataset/raw/LA\ASVspoof2019_LA_train/flac\LA_T_2732709.flac,real,-,LA_0079,train
dataset/raw/LA\ASVspoof2019_LA_train/flac\LA_T_2759900.flac,real,-,LA_0079,train
dataset/raw/LA\ASVspoof2019_LA_train/flac\LA_T_2838981.flac,real,-,LA_0079,train
dataset/raw/LA\ASVspoof2019_LA_train/flac\LA_T_2873890.flac,real,-,LA_0079,train
dataset/raw/LA\ASVspoof2019_LA_train/flac\LA_T_2938316.flac,real,-,LA_0079,train
dataset/raw/LA\ASVspoof2019_LA_train/flac\LA_T_3131990.flac,real,-,LA_0079,train
