t60,decay_slope,drr,filepath,label,split
5.4268125,-8.046084095279674,-69.01481,dataset/raw/LA\ASVspoof2019_LA_train/flac\LA_T_1138215.flac,real,train
5.424000000000001,-10.067215791789774,-69.321045,dataset/raw/LA\ASVspoof2019_LA_train/flac\LA_T_1271820.flac,real,train
2.4684375,-9.080952108133433,-71.06732,dataset/raw/LA\ASVspoof2019_LA_train/flac\LA_T_1272637.flac,real,train
2.4159375,-21.984756436594733,-70.50624,dataset/raw/LA\ASVspoof2019_LA_train/flac\LA_T_1276960.flac,real,train
3.4134375,-9.53736382724605,-68.66879,dataset/raw/LA\ASVspoof2019_LA_train/flac\LA_T_1341447.flac,real,train
1.991625,-26.935028969712956,-71.74313,dataset/raw/LA\ASVspoof2019_LA_train/flac\LA_T_1596451.flac,real,train
1.6998749999999998,-20.7566465456001,-75.09329,dataset/raw/LA\ASVspoof2019_LA_train/flac\LA_T_1608170.flac,real,train
6.0843750000000005,-7.946123841858434,-76.03359,dataset/raw/LA\ASVspoof2019_LA_train/flac\LA_T_1684951.flac,real,train
2.2983750000000005,-12.145744553376217,-66.21607,dataset/raw/LA\ASVspoof2019_LA_train/flac\LA_T_1699801.flac,real,train
3.0245625,-14.150441835675108,-68.93138,dataset/raw/LA\ASVspoof2019_LA_train/flac\LA_T_1703395.flac,real,train
1.309875,-26.36133504568913,-70.81023,dataset/raw/LA\ASVspoof2019_LA_train/flac\LA_T_1779188.flac,real,train
1.7088749999999997,-12.460073419087411,-74.948814,dataset/raw/LA\ASVspoof2019_LA_train/flac\LA_T_1786825.flac,real,train
2.3375625,-12.410742558454746,-76.98511,dataset/raw/LA\ASVspoof2019_LA_train/flac\LA_T_1787246.flac,real,train
0.97575,-58.06708920439232,-69.68714,dataset/raw/LA\ASVspoof2019_LA_train/flac\LA_T_1905558.flac,real,train
3.61125,-14.961948720825545,-77.78009,dataset/raw/LA\ASVspoof2019_LA_train/flac\LA_T_2205687.flac,real,train
5.2580625,-7.9654911628606815,-79.19211,dataset/raw/LA\ASVspoof2019_LA_train/flac\LA_T_2220901.flac,real,train
2.06325,-22.62642593618825,-62.0355,dataset/raw/LA\ASVspoof2019_LA_train/flac\LA_T_2361751.flac,real,train
3.6770625,-6.078199802616713,-73.54382,dataset/raw/LA\ASVspoof2019_LA_train/flac\LA_T_2373806.flac,real,train
1.3606874999999996,-33.774399291662135,-70.11921,dataset/raw/LA\ASVspoof2019_LA_train/flac\LA_T_2417641.flac,real,train
1.2894375000000005,-52.31233164212438,-77.62579,dataset/raw/LA\ASVspoof2019_LA_train/flac\LA_T_2520083.flac,real,train
2.2089375,-20.162132174520963,-68.239296,dataset/raw/LA\ASVspoof2019_LA_train/flac\LA_T_2562689.flac,real,train
1.8555,-11.053096743648608,-73.51366,dataset/raw/LA\ASVspoof2019_LA_train/flac\LA_T_2564579.flac,real,train
4.586812500000001,-10.335615747886468,-76.27783,dataset/raw/LA\ASVspoof2019_LA_train/flac\LA_T_2732709.flac,real,train
4.67325,-9.941281306838771,-76.07555,dataset/raw/LA\ASVspoof2019_LA_train/flac\LA_T_2759900.flac,real,train
1.4630625000000008,-18.922309384816288,-72.68895,dataset/raw/LA\ASVspoof2019_LA_train/flac\LA_T_2838981.flac,real,train
0.5525625000000005,-87.9685343206908,-81.19254,dataset/raw/LA\ASVspoof2019_LA_train/flac\LA_T_2873890.flac,real,train
3.1138125000000008,-14.562465283171308,-74.4896,dataset/raw/LA\ASVspoof2019_LA_train/flac\LA_T_2938316.flac,real,train
2.919375,-13.777011551934011,-81.57355,dataset/raw/LA\ASVspoof2019_LA_train/flac\LA_T_3131990.flac,real,train
3.1395,-13.03297161743522,-66.897514,dataset/raw/LA\ASVspoof2019_LA_train/flac\LA_T_3141223.flac,real,train
1.9708125000000003,-22.25130390186973,-68.82654,dataset/raw/LA\ASVspoof2019_LA_train/flac\LA_T_3167734.flac,real,train
2.3223750000000005,-11.25665357275695,-73.68789,dataset/raw/LA\ASVspoof2019_LA_train/flac\LA_T_3187715.flac,real,train
3.913875,-13.980273349497178,-77.061356,dataset/raw/LA\ASVspoof2019_LA_train/flac\LA_T_3215578.flac,real,train
2.0236875000000003,-24.73662775859061,-80.0077,dataset/raw/LA\ASVspoof2019_LA_train/flac\LA_T_3247389.flac,real,train
2.9992500000000004,-17.337202817696703,-70.78895,dataset/raw/LA\ASVspoof2019_LA_train/flac\LA_T_3346004.flac,real,train
3.8983125,-9.479972646308427,-76.72196,dataset/raw/LA\ASVspoof2019_LA_train/flac\LA_T_3441957.flac,real,train
2.28,-15.88644597230632,-70.73508,dataset/raw/LA\ASVspoof2019_LA_train/flac\LA_T_3561136.flac,real,train
3.8926875,-11.133468683294415,-87.60029,dataset/raw/LA\ASVspoof2019_LA_train/flac\LA_T_3576775.flac,real,train
3.25275,-11.53443403173813,-70.756454,dataset/raw/LA\ASVspoof2019_LA_train/flac\LA_T_3580508.flac,real,train
1.7358750000000005,-33.50181125043479,-80.74666,dataset/raw/LA\ASVspoof2019_LA_train/flac\LA_T_3635733.flac,real,train
2.5936875000000006,-21.410524633175488,-68.52022,dataset/raw/LA\ASVspoof2019_LA_train/flac\LA_T_3636245.flac,real,train
1.7576250000000004,-29.072344801766416,-78.18048,dataset/raw/LA\ASVspoof2019_LA_train/flac\LA_T_3810183.flac,real,train
1.7182499999999996,-28.203533310791588,-85.403145,dataset/raw/LA\ASVspoof2019_LA_train/flac\LA_T_3849267.flac,real,train
3.2304375,-12.606900069386509,-70.776085,dataset/raw/LA\ASVspoof2019_LA_train/flac\LA_T_3995089.flac,real,train
2.0891249999999992,-18.693698607898224,-74.35916,dataset/raw/LA\ASVspoof2019_LA_train/flac\LA_T_3999087.flac,real,train
2.2625625,-24.54413759647704,-72.20689,dataset/raw/LA\ASVspoof2019_LA_train/flac\LA_T_3999267.flac,real,train
3.627,-14.900998059627211,-77.11477,dataset/raw/LA\ASVspoof2019_LA_train/flac\LA_T_4053835.flac,real,train
5.0955,-6.61565955715096,-76.683174,dataset/raw/LA\ASVspoof2019_LA_train/flac\LA_T_4118798.flac,real,train
3.9367500000000017,-9.189731009850178,-85.276794,dataset/raw/LA\ASVspoof2019_LA_train/flac\LA_T_4155454.flac,real,train
3.2651249999999994,-14.297804998697922,-61.960484,dataset/raw/LA\ASVspoof2019_LA_train/flac\LA_T_4179989.flac,real,train
3.94725,-6.554907205529712,-78.7276,dataset/raw/LA\ASVspoof2019_LA_train/flac\LA_T_4197307.flac,real,train
1.3948124999999991,-28.28412186586934,-71.43986,dataset/raw/LA\ASVspoof2019_LA_train/flac\LA_T_4237787.flac,real,train
1.7488124999999997,-33.8423773028675,-66.92321,dataset/raw/LA\ASVspoof2019_LA_train/flac\LA_T_4239283.flac,real,train
5.404875000000001,-10.826526114579396,-90.011375,dataset/raw/LA\ASVspoof2019_LA_train/flac\LA_T_4244329.flac,real,train
2.6448750000000003,-17.80324912664052,-78.674126,dataset/raw/LA\ASVspoof2019_LA_train/flac\LA_T_4339311.flac,real,train
3.5531250000000005,-13.268127625791577,-78.24761,dataset/raw/LA\ASVspoof2019_LA_train/flac\LA_T_4362109.flac,real,train
1.9546874999999997,-19.293440072238702,-57.201977,dataset/raw/LA\ASVspoof2019_LA_train/flac\LA_T_4428691.flac,real,train
3.799500000000001,-6.328980818039503,-73.32552,dataset/raw/LA\ASVspoof2019_LA_train/flac\LA_T_4752788.flac,real,train
2.904562500000001,-17.92733411800142,-72.691376,dataset/raw/LA\ASVspoof2019_LA_train/flac\LA_T_4756464.flac,real,train
2.2610624999999995,-18.09619375647024,-74.412544,dataset/raw/LA\ASVspoof2019_LA_train/flac\LA_T_4822766.flac,real,train
4.0423125,-10.765779282220173,-76.37882,dataset/raw/LA\ASVspoof2019_LA_train/flac\LA_T_5096578.flac,real,train
1.2590624999999993,-38.322836216660775,-71.633484,dataset/raw/LA\ASVspoof2019_LA_train/flac\LA_T_5161420.flac,real,train
4.5286875,-9.121354955314262,-82.64958,dataset/raw/LA\ASVspoof2019_LA_train/flac\LA_T_5191549.flac,real,train
1.7808750000000002,-28.93629070873952,-73.215805,dataset/raw/LA\ASVspoof2019_LA_train/flac\LA_T_5337549.flac,real,train
5.19375,-9.885253861489224,-36.43576,dataset/raw/LA\ASVspoof2019_LA_train/flac\LA_T_5387852.flac,real,train
2.3388750000000007,-17.19718823734158,-82.65014,dataset/raw/LA\ASVspoof2019_LA_train/flac\LA_T_5521272.flac,real,train
4.4619375,-7.917250996615472,-73.14625,dataset/raw/LA\ASVspoof2019_LA_train/flac\LA_T_5761909.flac,real,train
4.2425625,-13.569366260514544,-83.921974,dataset/raw/LA\ASVspoof2019_LA_train/flac\LA_T_5777819.flac,real,train
3.831,-6.065806240847689,-77.55374,dataset/raw/LA\ASVspoof2019_LA_train/flac\LA_T_5785306.flac,real,train
3.8775,-10.77479067397623,-75.669716,dataset/raw/LA\ASVspoof2019_LA_train/flac\LA_T_5954195.flac,real,train
3.2733750000000006,-12.995633033679372,-82.943115,dataset/raw/LA\ASVspoof2019_LA_train/flac\LA_T_6058143.flac,real,train
4.018875000000001,-10.098566305446903,-75.78323,dataset/raw/LA\ASVspoof2019_LA_train/flac\LA_T_6074694.flac,real,train
2.56725,-14.969930348941311,-70.89852,dataset/raw/LA\ASVspoof2019_LA_train/flac\LA_T_6105178.flac,real,train
3.3328125,-9.611436193196488,-80.097694,dataset/raw/LA\ASVspoof2019_LA_train/flac\LA_T_6200206.flac,real,train
3.0273749999999997,-9.098342892139724,-37.3986,dataset/raw/LA\ASVspoof2019_LA_train/flac\LA_T_6214695.flac,real,train
5.973000000000001,-8.237121257076518,-76.18563,dataset/raw/LA\ASVspoof2019_LA_train/flac\LA_T_6324553.flac,real,train
1.767,-31.39014657577429,-71.37192,dataset/raw/LA\ASVspoof2019_LA_train/flac\LA_T_6335714.flac,real,train
4.4116875,-8.727729237401954,-70.860306,dataset/raw/LA\ASVspoof2019_LA_train/flac\LA_T_6370865.flac,real,train
2.7631875,-13.719197146546268,-66.013565,dataset/raw/LA\ASVspoof2019_LA_train/flac\LA_T_6405980.flac,real,train
4.815750000000001,-8.629535990341404,-73.62827,dataset/raw/LA\ASVspoof2019_LA_train/flac\LA_T_6426017.flac,real,train
3.3734999999999995,-10.576810707066858,-64.693344,dataset/raw/LA\ASVspoof2019_LA_train/flac\LA_T_6492747.flac,real,train
3.6020625,-11.390350683235422,-79.81993,dataset/raw/LA\ASVspoof2019_LA_train/flac\LA_T_6618587.flac,real,train
3.3534375,-13.459575362886625,-72.74537,dataset/raw/LA\ASVspoof2019_LA_train/flac\LA_T_6630946.flac,real,train
3.611812500000001,-11.93339128676343,-74.87942,dataset/raw/LA\ASVspoof2019_LA_train/flac\LA_T_6721654.flac,real,train
1.9905,-23.68817690480532,-74.17151,dataset/raw/LA\ASVspoof2019_LA_train/flac\LA_T_6736628.flac,real,train
2.1369375,-26.8673116514426,-66.83205,dataset/raw/LA\ASVspoof2019_LA_train/flac\LA_T_6768659.flac,real,train
3.0048749999999997,-15.169496294184787,-69.47929,dataset/raw/LA\ASVspoof2019_LA_train/flac\LA_T_6960204.flac,real,train
1.5485625,-37.49280898767565,-78.5618,dataset/raw/LA\ASVspoof2019_LA_train/flac\LA_T_7122854.flac,real,train
3.6361875,-10.79109196012304,-72.55637,dataset/raw/LA\ASVspoof2019_LA_train/flac\LA_T_7123800.flac,real,train
4.529249999999999,-7.731447524011799,-72.508804,dataset/raw/LA\ASVspoof2019_LA_train/flac\LA_T_7248140.flac,real,train
